SMILES,AZ_LogD7.4,LogP,LogP_chembl,SLogD,SLogP
CC(CN1CCCCC1)C(=O)c1ccccc1,,3.51,,1.18519,2.76897
CC(CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,,3.61,,4.02415,4.26886
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,2.67,4.81,3.86,2.92405,4.22585
CC(CNS(=O)(=O)C(C)C)c1ccc(-c2ccc(C#N)cc2)cc1,3.5,,,3.7851,3.78517
CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,2.87,,,2.96889,2.96906
CC(CO)/N=C(\O)Cn1ccnc1[N+](=O)[O-],,-1.02,,-0.27661,-0.276129
CC(CO)CC(F)(F)F,,1.39,,1.22166,1.22166
CC(CO)CCNc1ncnc2nc[nH]c12,,1.16,,0.837528,0.838512
CC(CO)CNc1nc[nH]c2ncnc1-2,,0.61,,-0.074372,-0.0733533
CC(CO)CO,,0.24,,-0.670951,-0.670951
CC(CO)N(C)C,,0.16,,-1.69979,0.0395604
CC(CO)NC1=C(N2CC2)C(=O)C(NC(C)CO)=C(N2CC2)C1=O,,-0.37,,-0.345551,-0.344548
CC(CO)NCc1ccccc1,,1.28,,-0.26145,1.16745
CC(CO)OC(C)CO,,-0.67,,-0.436208,-0.436208
CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0.56,,,2.0301,2.58466
CC(CS)C(=O)N1CCCC1C(=O)O,,0.34,,-1.74865,0.707636
CC(CSC(=O)c1ccccc1)C(=O)N1CC(Sc2ccccc2)CC1C(=O)O,,4.4,,0.828697,3.76027
CC(Cc1ccc(C(C)(C)C)cc1)CN1CC(C)OC(C)C1,,4.93,,4.56453,5.17045
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,-0.06,,,0.176957,1.10537
CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12,2.41,,,3.43717,4.78186
CC(Cc1ccccc1)OC(=O)N(C)C,,2.6,,2.72745,2.72745
CC(Cl)(Cl)C(=O)O,,0.78,,-1.54082,1.43944
CC(Cl)(Cl)Cl,,2.49,2.5,2.6967,2.6967
CC(Cl)/C(O)=N\C(CO)C(O)c1ccc([N+](=O)[O-])cc1,,0.98,,1.03911,1.03954
CC(Cl)C(=O)N(C/C(O)=N\c1ccccc1)c1ccccc1,,3.02,,2.23369,2.48813
CC(Cl)C(=O)Nc1ccc(C2=NNC(=O)CC2C)cc1,,,1.4,2.21859,2.21894
CC(Cl)C(=O)Nc1ccc(C2N=NC(=O)CC2C)cc1,,1.4,,2.96522,2.96531
CC(Cl)C(C)Cl,,,2.56,2.56544,2.56544
CC(Cl)CCCl,,,2.28,2.45648,2.45648
CC(Cl)CCl,,1.985,2.02,2.06195,2.06195
CC(Cl)Cl,,1.79,1.8,1.83575,1.83575
CC(Cl)[N+](=O)[O-],,1.1,,-0.0503162,0.784533
CC(F)C(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,,3.3,2.9,3.27201,4.11193
CC(F)F,,0.75,0.75,0.775468,0.775468
CC(N)(C(=O)O)c1cccc2ccccc12,,-0.22,,-0.044037,-0.00320619
CC(N)(COP(=O)(O)O)C(=O)O,2.5,,,-3.85976,-3.50923
CC(N)(Cc1ccc(O)cc1)C(=O)O,,-1.89,,-1.74239,-1.72967
CC(N)/C(O)=N/C(Cc1c[nH]c2ccccc12)C(=O)O,,-2.21,,-1.25892,-1.19876
CC(N)=O,,-1.175,,-1.34911,-1.34911
CC(N)=S,,-0.26,,-0.159606,-0.156509
CC(N)C(=O)N1CCCC1C(=O)O,,-2.71,,-2.81923,-2.79736
CC(N)C(=O)NC(C)C(=O)O,,,3.36,-3.17253,-3.15522
CC(N)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,,-0.59,,-0.754413,-0.711332
CC(N)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,,-1.1,,-0.818734,-0.789943
CC(N)C(=O)O,,-2.85,2.89,-2.78819,-2.78534
CC(N)C(O)c1cccc(O)c1,,-0.27,,-1.7739,-0.276576
CC(N)C(O)c1ccccc1,,0.67,,-0.876343,0.752309
CC(N)CC1CCCCC1,,2.96,,0.101176,2.81279
CC(N)CC1CCCCCCC1,,3.7,,0.970749,3.67467
CC(N)CCc1ccccc1,,2.12,,-0.373204,2.23694
CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,0.48,,,0.660895,3.09593
CC(N)Cc1ccc2c(c1)OCO2,,1.64,1.63,-0.924658,1.25195
CC(N)Cc1ccccc1,,1.76,1.63,-0.561859,1.82159
CC(N=NC(=N)Nc1ccccc1)c1ccccc1,,2.18,,3.51041,3.63399
CC(N=NC(=O)c1ccc(Br)cc1)c1cnccn1,,2.9,,2.81806,2.81806
CC(N=NC(=O)c1ccc(N)cc1)c1cnccn1,,1.3,,1.85939,1.85939
CC(N=NC(=O)c1ccc(O)cc1)c1cnccn1,,1.9,,1.81282,1.95806
CC(N=NC(=O)c1ccc([N+](=O)[O-])cc1)c1cnccn1,,2.1,,1.79656,1.79656
CC(N=NC(=O)c1ccncc1)c1cnccn1,,1.2,,1.30389,1.3039
CC(N=NC(O)COc1ccccc1)c1ccccc1,,2.46,,3.33037,3.33037
CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,2.7,,,2.45139,2.48752
CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(F)cc1,2.4,,,2.13268,2.17286
CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(S(C)(=O)=O)cc1,1,,,0.489479,0.532416
CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccccc1,2.17,,,1.74345,1.78207
CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccccn1,1.3,,,0.420429,0.451745
CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1cccnc1,1.2,,,0.49445,0.524587
CC(NC(=O)CN)C(=O)O,,,3.56,-3.37677,-3.36745
CC(NC(=O)COC(=O)c1ccccc1)C(N)=O,,0.42,,-0.0256362,-0.0256362
CC(NC(=O)N(CCCl)N=O)C(=O)O,,,0.5,-1.69616,0.481006
CC(NC(=O)c1cc(O)nc2ccccc12)c1ccccc1,2.2,,,2.67438,2.67693
CC(NC(=O)c1ccccc1)C(=O)O,,,-2.14,-1.62172,0.970979
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,2.12,,,2.51394,3.19646
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1C(C(=O)O)CC2CCCC21,,0.22,,-3.30327,0.284153
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,,-0.74,,-3.91617,-0.741966
CC(NCC(O)CON=C(C1CC1)C1CC1)c1ccccc1,,2.32,,2.02901,2.8862
CC(NCC(O)c1ccc([N+](=O)[O-])cc1)C12CC3CC(CC(C3)C1)C2,3.53,,,3.01271,4.05564
CC(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,,2.09,,-1.04227,1.88795
CC(Nc1cnccn1)C(=O)O,,-2.79,,-3.20158,-0.480523
CC(Nc1ncnc2[nH]cnc12)c1ccccc1,,2.58,,2.38945,2.39135
CC(Nc1ncnc2ccccc12)c1ccccc1,3.4,,,3.35728,3.36216
CC(O)(C(=O)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1)C(F)(F)F,3.07,,,2.74414,2.8798
CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccc(F)cc2)cc1)C(F)(F)F,3.12,,,3.18158,3.18183
CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccc(O)cc2)cc1)C(F)(F)F,2.78,,,2.42969,2.4416
CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccccc2)cc1)C(F)(F)F,2.98,,,2.80347,2.80368
CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2cccnc2)cc1)C(F)(F)F,2.08,,,1.95397,1.95424
CC(O)(C(=O)Nc1ccc(S(=O)(=O)c2ccncc2)cc1)C(F)(F)F,2.15,,,1.89904,1.89935
CC(O)(C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1)C(F)(F)F,,,3.21,2.77822,2.78021
CC(O)(C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1)C(F)F,,,3.76,2.49509,2.49586
CC(O)(C(=O)Nc1ccc2c(c1)-c1ccccc1S2(=O)=O)C(F)(F)F,3,,,2.60042,2.6007
CC(O)(C(=O)O)c1ccccc1,,0.8,,-1.77835,1.10309
CC(O)(C(=O)c1ccccc1)c1ccccc1,2.92,,,2.62532,2.62532
CC(O)(CF)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,,,3.5,2.09174,2.09214
CC(O)(CO)C1CC=C(/C=N/O)CC1,,,-0.92,0.31495,0.315062
CC(O)=NN=CCCc1ccccc1,,1.8,,1.90029,2.11218
CC(O)=NN=Cc1c(CO)ccc(C)c1O,,1.71,,1.08925,1.56473
CC(O)=NN=Cc1c(CO)cnc(C)c1O,,0.65,,-0.329792,0.827769
CC(O)=NN=Cc1c(O)ccc2ccccc12,,2.91,,2.50807,3.21023
CC(O)=NN=Cc1ccccc1O,,1.71,,1.59694,1.98395
CC(O)=Nc1ccc(C=Cc2nnc(O)cc2C)cc1,,1.27,,1.57997,1.594
CC(O)=Nc1ccc(CN(C)N=Nc2ccc(C(=O)O)cc2)cc1,,3.35,,-0.211826,2.43771
CC(O)=Nc1ccc(N=NC(C#N)C#N)cc1,,1.83,,1.52019,1.53372
CC(O)=Nc1cccc(N=NN(C)C)c1,,1.61,,1.6952,1.70073
CC(O)C#N,,-0.94,,-0.545712,-0.545712
CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,,-2.42,,-2.46154,-2.46141
CC(O)C(=O)O,,-0.72,,-3.1284,-0.623757
CC(O)C(C)(C)C,,1.475,,1.48307,1.48307
CC(O)C(C)O,,-0.92,,-0.584195,-0.584195
CC(O)C(C)OC(=O)[C@H]1CC2c3cccc4c3c(cn4C(C)C)CC2N(C)C1,2.8,,,3.22352,3.32923
CC(O)C(F)(F)F,,0.71,,0.685166,0.685166
CC(O)C(N)C(=O)O,,-2.94,,-3.12902,-3.12252
CC(O)C/N=C(\O)C(F)(F)Cn1cnc([N+](=O)[O-])n1,,-0.47,,-0.284738,0.256463
CC(O)C1=CCCN(NC(=O)c2ccccc2)C1,,,2.8,0.778235,0.778389
CC(O)C1=CCN(NC(=O)c2ccccc2)CC1,,,1.1,0.62671,0.626916
CC(O)C1CCCN(Cc2ccc(CN3CCCC(C(C)O)C3)cc2)C1,,,2.3,1.65183,2.83763
CC(O)CC(F)(F)F,,0.71,,0.883459,0.883459
CC(O)CCC(=O)c1ccoc1,,0.84,,0.913051,0.913051
CC(O)CN,,-0.96,-0.96,-2.40729,-1.02781
CC(O)CN(C)C,,0.2,,-1.42882,0.193212
CC(O)CN(CC(C)O)C(=O)COC(=O)c1ccccc1,,0.66,,0.457524,0.457524
CC(O)CN=C1N=CC(c2ccncc2)C=C1C#N,,0.79,,0.47039,0.470789
CC(O)CNCC(C)O,,-0.82,,-2.15117,-0.601958
CC(O)CNc1ccccc1C(=N)O,,0.62,,0.602728,0.602809
CC(O)CO,,-0.92,,-0.995625,-0.995625
CC(O)COC(=O)C(N)Cc1ccc(O)c(O)c1,,-0.49,,-0.528044,-0.397683
CC(O)COC(C)CO,,-0.67,,-0.351398,-0.351398
CC(O)COc1ccc(Cl)cc1,,2.41,,2.48912,2.48912
CC(O)COc1cccc2oc(C(=O)O)cc(=O)c12,,1.32,,-0.999162,1.49006
CC(O)COc1ccccc1,,1.61,,1.68449,1.68449
CC(O)COc1ncc(-c2ccncc2)cc1C#N,,1.65,,1.65319,1.65386
CC(O)Cc1ccccc1,,1.97,,1.84404,1.84404
CC(O)Cn1ccnc1[N+](=O)[O-],,-0.16,,-0.10833,-0.10833
CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,,-0.77,,-0.219642,-0.21964
CC(O)N=NC(O)=Nc1cccc(Br)c1,,1.48,,1.11055,2.09186
CC(O)N=NC(O)=Nc1cccc(F)c1,,0.73,,0.482227,1.6283
CC(O)N=NC(O)=Nc1cccc(I)c1,,1.71,,1.43119,2.31289
CC(O)N=NC(O)=Nc1cccc([N+](=O)[O-])c1,,0.67,,0.0374962,1.36695
CC(O)N=NC(O)=Nc1ccccc1,,0.25,,0.894445,1.42453
CC(O)c1c(O)c(=O)ccn1CCCO,,,-1.125,-1.13564,-1.13162
CC(O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2,0.25,,,-0.0294035,0.627852
CC(O)c1ccc2ccccc2c1,,2.68,,2.75228,2.75228
CC(O)c1ccccc1,,1.42,,1.465,1.465
CC(OC[n+]1ccn(C)c1/C=N/O)C(C)(C)C,,,-0.68,-1.30095,-0.845811
CC(OCc1cn(C)c(C=NO)n1)C(C)(C)C,,2.53,,2.28785,2.28943
CC(OP(C)(=O)F)C(C)(C)C,,1.78,,1.62594,1.62594
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,0.48,,,2.80457,3.17936
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,,3.8,,0.596365,3.68482
CC(Oc1ccc(Cl)cc1)C(=O)O,,2.31,,-0.443679,2.42369
CC(Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1)C(=O)O,,3.18,,0.390212,3.37142
CC(Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1)C(=O)O,,4.58,,1.34061,4.35535
CC(Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1)C(=O)OCC1CCCO1,,4.32,,4.56983,4.56983
CC(Oc1ccc(Oc2ncc(Cl)cc2Cl)cc1)C(=O)N1CCCO1,,3.36,,3.42309,3.42309
CC(Oc1cccc2[nH]ccc12)C1=NCCN1,,,3.12,0.961639,2.11277
CC(Oc1cccc2ccccc12)C1=NCCN1,,,4.35,1.66376,2.9683
CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,,2.2,,-1.2835,1.68732
CC(Oc1ccccc1)C(=O)Nc1nc(-c2ccccn2)cs1,,,5.06,2.67704,2.67784
CC(S(=O)(=O)c1ccc(OC(F)(F)F)cc1)S(=O)(=O)C(F)(F)F,,,3,0.231181,2.19674
CC(SSc1ncc[nH]1)c1ccccc1,,3.39,,2.97848,2.97884
CC(c1cc2ccccc2o1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,2.1,,,2.22967,2.30604
CC(c1cc2ccccc2s1)N(O)C(N)=O,2.05,,,1.89748,1.94732
CC(c1ccccc1)C(Cc1nc2ccccc2[nH]1)c1nc2ccccc2[nH]1,4.48,,,4.42105,4.42502
CC(c1ccccc1)N1CC(N2CCOCC2)=NC1=O,,0.8,,0.868905,0.868978
CC(c1ccccc1)N1Cc2ccccc2C1=O,3,,,2.78857,2.78857
CC(c1ccccn1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O,0.51,,,1.79972,2.28956
CC(c1ccsc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O,0.9,,,1.47016,1.53688
CC(n1ccnc1)C(O)(c1ccc(F)cc1)c1ccc(F)cc1,,3.13,,3.31461,3.33884
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,,,5.07,4.82336,4.82532
CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,,,3.2,4.85898,5.97232
CC/C(=C(/c1ccccc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,3.89,,,3.49499,6.34176
CC/C(O)=N/CC1C(=O)C(=O)C=C(C)N1C,,-0.72,,0.490692,0.490762
CC/C(O)=N/c1ccc2cc3ccc(N)c(CO)c3nc2c1,,1.55,,1.08516,1.3344
CC/C=C(/C)C(=O)O,,,1.53,-1.0012,1.71113
CC/C=C(/CC)C(=O)O,,,2.06,-0.705876,2.04527
CC/C=C(/CCC)C(=O)O,,,2.59,-0.388352,2.45029
CC/C=C(/CCCC)C(=O)O,,,3.11,0.204594,2.99618
CC/C=C/C(=O)O,,,1.22,-1.17162,1.27087
CC/C=C1/NC(=O)C(c2cccc(Oc3ccccc3)c2)=C1O,,,2.21,1.7896,3.91976
CC/N=C(/N)S,,,-0.66,0.519954,0.519962
CC/N=C(/O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,,2.07,,2.34889,2.3489
CC/N=C(N)/N=C(\N)Nc1ccc(Cl)cc1,,2.14,,-0.81561,2.01623
CC/N=C(O)/N=C(/C)O,,-0.01,,-0.469444,0.211446
CC/N=C(O)/N=C(\O)c1ccccc1,,1.92,,0.458396,1.1474
CC/N=C(\O)C(/N=C(\O)C/N=C(\O)c1ccccc1)C(C)C,,1.05,,1.56577,1.56837
CC/N=C(\O)C/N=C(\O)c1ccccc1,,0.58,,1.21105,1.21185
CC/N=C(\O)CC1CCCCC1,,2.28,,2.72644,2.72644
CC/N=C(\O)CCN1C=CC(=O)C(=O)C1C,,-0.82,,0.537676,0.53771
CC/N=C(\O)CN1C=CCC(=O)C1=O,,-0.74,,0.0604336,0.0617722
CC/N=C(\O)CNC(=O)[CH-][N+]#N,,-0.62,,-0.145742,-0.143215
CC/N=C(\O)COC(=O)Cc1ccc2cc(OC)ccc2c1,,2.65,,2.38963,2.38964
CC/N=C(\O)NS(=O)(=O)c1ccc(Cl)cc1,,1.79,,0.957061,1.47759
CC/N=C(\O)c1c[nH]c2ccccc12,,1.62,,1.86585,1.86589
CC/N=C(\O)c1cc2ccccc2o1,,2.22,,2.2499,2.25034
CC/N=C(\O)c1cccc2c1C(=O)C(=O)N(CC)C2=O,,0.3,,0.942177,0.944935
CC/N=C(\O)c1ccccc1OCC,,2.4,,1.97406,1.97408
CC/N=C(\O)c1ccsc1,,1.18,,1.43883,1.43883
CC/N=C(\S)SC,,1.57,,1.96046,1.96132
CC/N=C1\C(=O)C2=C(C(O)=C1C)N1C[C@H]3N[C@H]3C1(OC)[C@H]2COC(N)=O,,,0.35,-0.6065,-0.470071
CC/N=N/Nc1ccc(C(N)=O)cc1,,1.19,,1.3661,1.36615
CC/N=c1/ccc2c(cc1O)C(NC(C)=O)CCc1cc(OC)c(OC)c(OC)c1-2,,,2.34,2.44304,2.44524
CC/N=c1/nc(C(Cl)(Cl)Cl)nc(SC)[nH]1,,3.87,,3.23959,3.2398
CC/N=c1/nc(Cl)[nH]/c(=N/C2CCC2)[nH]1,,2.77,,2.82623,2.86295
CC/N=c1/nc(Cl)[nH]/c(=N\CC2CC2)[nH]1,,2.85,,2.87716,2.90863
CC/N=c1/nc(SC(F)F)[nH]/c(=N\CC(C)C)[nH]1,,4.3,,3.16035,3.2934
CC/N=c1/nc(SC(F)F)[nH]/c(=N\CC)[nH]1,,3.28,,2.52205,2.59695
CC/N=c1\[nH]c(SC(F)F)n/c(=N\C)[nH]1,,2.68,,2.22334,2.3031
CC/N=c1\nc(NC(C)(C)C)[nH]c(SC(F)F)n1,,4.57,,2.99739,3.10722
CC1(C(=O)NC2CCCCC2)CCC(=O)N1Cc1cccs1,2.15,,,2.24884,2.24884
CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1,,3.51,,4.42925,4.45473
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,,2.8,,-1.18632,2.65341
CC1(C(=O)O)CSC(c2cc(O)ccc2O)=N1,,1.3,,-1.2755,1.10827
CC1(C(=O)O)CSC(c2ccc(O)cc2O)=N1,,1.3,,-0.940474,1.1919
CC1(C(Cl)Cl)C2C(Cl)C(Cl)C1(C(Cl)Cl)C(Cl)C2Cl,,5.52,,5.77478,5.77478
CC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(C(Cl)Cl)CC2(Cl)Cl,,5.9,,5.99887,5.99887
CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc3ccccc3c21,,-0.29,,0.813037,5.5939
CC1(C)C(=O)N(c2ccc(SC(F)(F)F)cc2)C(=O)N1Cc1ccnc(N2CCOCC2)c1,3.73,,,3.50803,3.50946
CC1(C)C(=O)NC(=O)NC1=O,,-0.44,,-0.376165,-0.329119
CC1(C)C(=O)Nc2ccccc21,2.3,,,1.76781,1.76785
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,,5.7,,5.41251,5.41251
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,,6.2,,6.2149,6.2149
CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,,6.8,,6.14253,6.14253
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1ccc(F)c(Oc2ccccc2)c1,,5.95,,6.35052,6.35052
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,,6.6,,6.06812,6.06812
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1c(F)c(F)cc(F)c1F,,5.46,,5.83204,5.83204
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,,6.5,,6.96777,6.96777
CC1(C)C(C=C2CCSC2=O)C1C(=O)OCc1ccccc1,,4.02,,3.94863,3.94863
CC1(C)C2CC=C(CO)C1C2,,3.22,,2.78682,2.78682
CC1(C)C2CCC(C=O)C1C2,,2.98,,2.54736,2.54736
CC1(C)C2CCC(CN)C1C2,,2.05,,0.468845,2.67801
CC1(C)C2CCC(CO)C1C2,,3.41,,2.98442,2.98442
CC1(C)C2CCC1(C)C(O)C2,,3.11,,2.76527,2.76527
CC1(C)C2CCC1(C)C(OC(=O)c1ccc(O)c(O)c1)C2,,,3.78,4.19172,4.2228
CC1(C)C2Cc3ssc(=S)c3C1C2,,3.7,,3.81495,3.81495
CC1(C)C=C(/C(O)=N/CCCN2C(=O)c3ccccc3C2=O)C(C)(C)N1,,1.58,,2.15027,2.42493
CC1(C)C=Cc2ccccc2O1,,3.31,,3.58127,3.58127
CC1(C)C=[N+]([O-])C(C)(C)C1,,-0.15,,0.303084,0.303085
CC1(C)CC(/N=C(\O)NP(=O)(N2CC2(C)C)N2CC2(C)C)C(C)(C)N1O,,0.51,,1.46382,1.52534
CC1(C)CC(/N=C(\O)NP(=O)(N2CC2(C)C)N2CC2(C)C)CC(C)(C)N1O,,0.48,,1.59513,1.64509
CC1(C)CC(=O)C=C(N2CCCCC2)C1,,2.83,,2.89229,3.01296
CC1(C)CC(=O)CC(C)(C)N1O,,0.12,,0.383114,0.384479
CC1(C)CC(=O)c2c(nc3ccccc3c2N)C1,3,,,1.89761,2.83624
CC1(C)CC(N)CC(C)(C)N1,,,2.73,-2.15074,1.26735
CC1(C)CC(N)CC(C)(C)N1O,,0.56,,-1.5876,0.395939
CC1(C)CC(NC(=O)NP(=O)(N2CC2(C)C)N2CC2(C)C)CC(C)(C)N1,,0.55,,-0.108153,1.16665
CC1(C)CC(NC(=O)NP(=O)(N2CC2)N2CC2)C(C)(C)N1O,,-0.6,,-0.094548,-0.0901922
CC1(C)CC(NC(=O)NP(=O)(N2CC2)N2CC2)CC(C)(C)N1,,-0.8,,-1.08656,-0.0409623
CC1(C)CC(NC(=O)NP(=O)(N2CC2)N2CC2)CC(C)(C)N1O,,-0.42,,0.120762,0.123304
CC1(C)CC(NCCO)CC(C)(C)N1,,,3.1,-1.84781,0.999587
CC1(C)CC(OP(=S)(N2CC2)N2CC2)CC(C)(C)N1O,,1.77,,1.72585,1.72799
CC1(C)CC2=NOS3=C2C(=NO3)C1,,1.9,,2.06642,2.06642
CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,,3.29,,3.52529,3.52533
CC1(C)CCC(C(F)(F)F)=[N+]1[O-],,0.2,,0.0153186,0.0153187
CC1(C)CCC(C)(C)N1O,,1,,1.35183,1.35302
CC1(C)CCC(C)(C)O1,,2.06,,2.4455,2.4455
CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,,3.85,,3.63126,3.63131
CC1(C)CCC(NC(=O)N(CCF)N=O)CC1,,,3.13,2.99561,2.99572
CC1(C)CCC(NC(=O)[C@H](N)CCC(=O)O)CC1,-0.27,,,-1.39694,-1.3485
CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1,0.64,,,6.91724,7.24274
CC1(C)CCC(c2ccccc2)(N2CCCCC2)CC1,,6.39,,4.08526,5.32429
CC1(C)CCCC(C)(C)N1,,2.15,,-0.762522,2.34864
CC1(C)CCCC(C)(C)N1N=O,,2.49,,2.50164,2.50164
CC1(C)CCCC(C)(C)N1O,,1.85,,1.5703,1.57751
CC1(C)CN1P(=O)(NC(=O)NC12CC3CC(CC(C3)C1)C2)N1CC1(C)C,,1.98,,2.66007,2.66163
CC1(C)CNC(=NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc2ccc(C(F)(F)F)cc2)NC1,,2.31,,5.22333,5.68408
CC1(C)CNC(=O)c2sc(N3CCOCC3)nc2C1,1.29,,,1.66943,1.66962
CC1(C)COC(Cn2cncn2)(c2ccc(-n3ccnc3)cc2Cl)OC1,,2.26,,2.68751,2.68971
CC1(C)COCc2sc(N3CCN(C(=O)[C@H]4CCCC[C@@H]4C(=O)NC4(C#N)CC4)CC3)nc21,2.4,,,1.98563,1.98723
CC1(C)CON(Cc2ccccc2Cl)C1=O,,2.5,,2.58382,2.58382
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,3.07,,,2.4036,5.80726
CC1(C)Cc2cccc(O)c2O1,,2.08,,2.52225,2.52342
CC1(C)Cc2cccc([N+](=O)[O-])c2O1,,3.33,,2.9259,2.9259
CC1(C)N(O)C(c2ccc([N+](=O)[O-])cc2)=[N+]([O-])C1(C)C,,1.68,,1.18632,1.20418
CC1(C)N/C(=N/c2ncc([N+](=O)[O-])s2)OC1(C)C,,2.4,,2.76722,2.76725
CC1(C)N=C(N)N=C(N)N1OCCc1ccc2ccccc2c1,,,4.23,0.188389,2.49181
CC1(C)N=C(N)N=C(N)N1c1ccc(CCCCc2ccc(S(=O)(=O)F)cc2Cl)c(Cl)c1,,,2.42,0.469497,3.6739
CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,,,2.94,-1.78899,0.954812
CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1,,0.37,,-2.24891,0.376933
CC1(C)N=C(N)N=C(N)N1c1ccc(N)cc1,,-0.59,,-3.08454,-0.433239
CC1(C)N=C(N)N=C(N)N1c1ccc(Oc2ccc(Cl)cc2)c(Cl)c1,0.79,,,-0.0254752,3.06485
